Date,Open,High,Low,Close,Adj Close,Volume
5/9/1991,378.51,383.56,378.51,383.25,383.25,180460000
5/10/1991,383.26,383.91,375.61,375.74,375.74,172730000
5/13/1991,375.74,377.02,374.62,376.76,376.76,129620000
5/14/1991,375.51,375.53,370.82,371.62,371.62,207890000
5/15/1991,371.55,372.47,365.83,368.57,368.57,193110000
5/16/1991,368.57,372.51,368.57,372.19,372.19,154460000
5/17/1991,372.19,373.01,369.44,372.39,372.39,174210000
5/20/1991,372.39,373.65,371.26,372.28,372.28,109510000
5/21/1991,372.28,376.66,372.28,375.35,375.35,176620000
5/22/1991,375.35,376.5,374.4,376.19,376.19,159310000
5/23/1991,376.19,378.07,373.55,374.96,374.96,173080000
5/24/1991,374.97,378.08,374.97,377.49,377.49,124640000
5/28/1991,377.49,382.1,377.12,381.94,381.94,162350000
5/29/1991,381.94,383.66,381.37,382.79,382.79,188450000
5/30/1991,382.79,388.17,382.5,386.96,386.96,234440000
5/31/1991,386.96,389.85,385.01,389.83,389.83,232040000
6/3/1991,389.81,389.81,386.97,388.06,388.06,173990000
6/4/1991,388.06,388.06,385.14,387.74,387.74,180450000
6/5/1991,387.74,388.23,384.45,385.09,385.09,186560000
6/6/1991,385.1,385.85,383.13,383.63,383.63,168260000
6/7/1991,383.63,383.63,378.76,379.43,379.43,169570000
6/10/1991,379.43,379.75,377.95,378.57,378.57,127720000
6/11/1991,378.57,381.63,378.57,381.05,381.05,161610000
6/12/1991,381.05,381.05,374.46,376.65,376.65,166140000
6/13/1991,376.65,377.9,376.08,377.63,377.63,145650000
6/14/1991,377.63,382.3,377.63,382.29,382.29,167950000
6/17/1991,382.3,382.31,380.13,380.13,380.13,134230000
6/18/1991,380.13,381.83,377.99,378.59,378.59,155200000
6/19/1991,378.57,378.57,374.36,375.09,375.09,156440000
6/20/1991,375.09,376.29,373.87,375.42,375.42,163980000
6/21/1991,375.42,377.75,375.33,377.75,377.75,193310000
6/24/1991,377.74,377.74,370.73,370.94,370.94,137940000
6/25/1991,370.94,372.62,369.56,370.65,370.65,155710000
6/26/1991,370.65,372.73,368.34,371.59,371.59,187170000
6/27/1991,371.59,374.4,371.59,374.4,374.4,163080000
6/28/1991,374.4,374.4,367.98,371.16,371.16,163770000
7/1/1991,371.18,377.92,371.18,377.92,377.92,167480000
7/2/1991,377.92,377.93,376.62,377.47,377.47,157290000
7/3/1991,377.47,377.47,372.08,373.33,373.33,140580000
7/5/1991,373.34,375.51,372.17,374.08,374.08,69910000
7/8/1991,374.09,377.94,370.92,377.94,377.94,138330000
7/9/1991,377.94,378.58,375.37,376.11,376.11,151820000
